Nome,Preço Antigo,Preço Pix,Preço Cartão,URL Imagem
Cadeira Poltrona Infantil Criança Plástico Resistente   Verde - Único,"R$ 30,90","R$ 27,83","R$ 14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/04/produto/2686/50.png?ims=290x290
Cadeira Poltrona Infantil Criança Plástico Resistente   Amarela - Único,"R$ 30,90","R$ 27,83","R$ 14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2382/25.png?ims=290x290
Cadeira Poltrona Infantil Criança Plástico Resistente   Verde Tifany - Único,"R$ 30,90","R$ 27,83","R$ 14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2422/33.png?ims=290x290
Cadeira Poltrona Infantil Criança Plástico Resistente   Vermelha - Único,"R$ 30,90","R$ 27,83","R$ 14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2414/49.png?ims=290x290
Cadeira Poltrona Infantil Criança Plástico Resistente   Laranja - Único,"R$ 30,90","R$ 27,83","R$ 14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2398/17.png?ims=290x290
Cadeira Poltrona Infantil Criança Plástico Resistente   Branca - Único,"R$ 30,90","R$ 27,83","R$ 14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2430/1.png?ims=290x290
Cadeira Poltrona Infantil Criança Plástico Resistente   Rosa - Único,"R$ 30,90","R$ 27,83","R$ 14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2406/9.png?ims=290x290
Cadeira Poltrona Infantil Criança Plástico Resistente   Azul - Único,"R$ 30,90","R$ 27,83","R$ 14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2390/41.png?ims=290x290
